Document_ID,Clean_Title,Sentiment
1,viewer actual went tiff wit film didnt want believ hype absolut masterpiec phoenix certifi legend,Positive
2,outstand movi haunt perform best charact develop ever seen,Positive
3,certain peopl relat,Neutral
4,perfect everi aspect,Positive
5,hype real,Positive
6,masterpiec,Positive
7,amaz movi exist,Positive
8,went second time watch,Positive
9,psycholog studi rather superhero flick,Neutral
10,joaquin oscar joker best dark suspens thriller darker dark knight,Positive
11,venic review,Positive
12,represint real life joker,Positive
13,final real movi,Positive
14,Good lord,Positive
15,spoon feed cgi fuel faux drama,Positive
16,oscar phoenix,Positive
17,critic useless,Positive
18,joker endgam,Positive
19,would call masterpiec,Positive
20,one best act perform ive ever seen,Positive
21,dont forget smile,Positive
22,ok film,Neutral
23,extrem overr,Negative
24,believ hype,Positive
25,masterpiec,Positive
26,great dont know,Positive
27,that life,Positive
28,extrem overr,Negative
29,requiem broken man,Positive
30,rise joker,Positive
31,brilliant best joker ive ever seen,Positive
32,movi decad,Positive
33,omg get old peopl get stupid,Negative
34,clown princ crime arriv,Positive
35,probabl one best comic book movi perform phoenix make speechless end venic,Positive
36, worthi act perform phoenix worth watch joker smart enough becom joker weve come know,Neutral
37,saw tonight make account tell everyon good,Positive
38,miser unpleas slog movi noth,Negative
39,stun,Positive
40,anyon rate movi poorli clearli doesnt appreci cinema,Positive
41,bewar anyon hail masterpiec,Negative
42,yike peopl best movi ever,Negative
43,dont get,Negative
44,astonish masterpiec,Positive
45,feel like everyon brain wash,Negative
46,nonsens plot,Negative
47,made account rate disappoint film,Positive
48,stop compar endgam,Neutral
49,dc movi,Positive
50,hour full bad bad mood,Negative
51,who real joker,Negative
52,best dc movi sinc dark knight rise,Positive
53,joke movi,Negative
54,kind letdown,Negative
55,best movi year,Positive
56,dont believ hype,Negative
57,garbag hype,Negative
58,oscar sooner later,Positive
59,overratedoverhyp,Negative
60,joke,Negative
61,Perfect,Positive
62,first time write review that good,Positive
63,mesmer,Positive
64,dont sheep,Negative
65,overr badli direct film mislead titl,Negative
66,overhyp overact proper entertain millenni joker,Negative
67,dont get everyon els seem see,Negative
68,insult best comic book villain time,Negative
69,joker laughter joke matter,Negative
70,masterpiec,Positive
71,best thing dc done sinc dark knight,Positive
72, amaz movi,Positive
73,overr bore cheap pretenti movi make dumb peopl feel smarter,Negative
74,dark seriou tens bad,Negative
75,spectacular awesom fantast,Positive
76,gener,Negative
77,good film noth joker,Neutral
78,great act terribl film,Negative
79,overhyp,Negative
80,clear shelf oscar,Positive
81,masterpiec movi year best actor joaquin phoenix,Positive
82,hat joaquin phoenix,Positive
83,real joker,Negative
84,fell asleep,Negative
85,realli dont understand,Neutral
86,went blind didnt enjoy realli disappoint,Negative
87,cinemat masterpiec,Positive
88,joker outsid crimin,Negative
89,overact galor,Negative
90,uncomfort satisfi,Neutral
91,far best dc movi date joaquin phoenix perfect,Positive
92,joaquin phoenix deliv stori doesn’t,Negative
93,dark depress,Negative
94,overhyp movi,Negative
95,overr overhyp,Negative
96,masterpiec,Positive
97,joker,Negative
98,deriv uninspir,Negative
